audiofile,text,lat,lon
0,Bad Schussenried Entladepunkt / Hebebuehne,47.992420384356926,9.678399860858917
1,Bad Schussenried Einfahrt Drehscheibe,47.99243968073034,9.678440764546396
2,Bad Schussenried Weiche auf die Hauptstrecke,47.99245897709654,9.678481668233873
3,Bad Schussenried: Gleich erreichen wir den Bahnhof,47.99245852834394,9.678504467010502
4,Bad Schussenried: Ausstieg in Fahrtrichtung Rechts,47.99245807959131,9.678527265787126
5,Bad Schussenried: Willkommen am Lokschuppen,47.992460772107,9.678592309355738
6,Bad Schussenried: Einfahrt Kruve 1,47.99246346462256,9.678657352924349
7,Bad Schussenried: Ausfahrt Kruve 1,47.99249891606417,9.678719714283945
8,Bad Schussenried: Schneller!,47.992534367481404,9.678782075643541
9,Bad Schussenried: BAUM!,47.99258642268288,9.678861871361734
10,Bad Schussenried: Einfahrt Kruve 2,47.992638477831846,9.678941667079929
11,Bad Schussenried: Ausfahrt Kruve 2,47.99274572922313,9.679032862186435
17,Testpunkt 1,50.7645621869118,6.089191138744355
18,Testpunkt 2,50.76452740823942,6.089164316654206
19,Testpunkt 3,50.76449262954118,6.089137494564057
12,KAMAC 1,50.76500041132879,6.077895003460349
13,KAMAC 2,50.76500071123118,6.077830992934169
14,KAMAC 3,50.76500101113357,6.077766982407989
15,KAMAC 4,50.76500281054783,6.077676893519301
16,KAMAC 5,50.765004609962006,6.07758680463061
